ticker,stock_id,stock_name,exchange,country,FE_FP_END,REPORT_DATE,published_at,ACTUAL,CONS_EARLY,CONS_EARLY_DATE,CONS_EARLY_N,CONS_PRINT,CONS_PRINT_DATE,CONS_PRINT_N,surprise_early,surprise_print,actual_q4,rev_yoy,cons_early_growth,company_name_guess,series_ticker,series_title,series_tags,tag_basis,event_ticker,feature_date,period_label,metric_label,n_markets,n_greater_markets,market_statuses,volume_sum,open_interest_sum,n_strikes,strike_min,strike_max,strike_step_median,prob_lowest,prob_highest,implied_value,implied_value_no_tail,implied_value_incremental,price_sources,is_numeric_kpi_ladder,feature_family,kalshi_implied_value_qoq,kalshi_implied_value_yoy
CAVA,BBG00GBR8762,"CAVA Group, Inc.",NYSE,US,2026-03-31,2026-05-20,2026-05-19 20:11:00+00:00,438.27,415.347529,2026-04-01,22.0,438.27,2026-05-19,1.0,0.0551886538369173,0.0,331.826,0.3207825788214304,0.2517027870028268,CAVA Group Inc.,KXCAVA,CAVA KPI,Companies|KPIs,market:custom_strike.company|tag:Companies|tag:KPIs,KXCAVA-26MAYREST,2026-06-13 20:00:00,Q1 2026,cava restaurants,11.0,4.0,finalized,1354951.9299999997,687890.65,4.0,456.0,459.0,1.0,0.995,0.005,458.99,458.985,2.99,yes_mid,True,numeric_kpi_ladder,,
CCL,BBG001S5PL01,Carnival Corporation Ltd.,NYSE,US,2026-05-31,2026-06-23,2026-06-23 13:15:00+00:00,6663.0,6682.523645,2026-06-05,17.0,6687.617204,2026-06-22,18.0,-0.0029215975935391,-0.0036810127208351,6328.0,0.0529393173198482,0.056024596238938,Carnival Corporation,KXCCL,Carnival Cruise KPI,Companies|KPIs,market:custom_strike.company|tag:Companies|tag:KPIs,KXCCL-26JUNALBD,2026-07-23 13:00:00,Q2 2026,available lower berth days,9.0,9.0,finalized,43434.91,31195.0,9.0,23700000.0,25500000.0,300000.0,0.5,0.5,24750000.0,24600000.0,1050000.0,yes_mid,True,numeric_kpi_ladder,,
COIN,BBG00ZGF7799,"Coinbase Global, Inc.",NASDAQ,US,2024-03-31,2024-05-03,2024-05-02 20:26:00+00:00,1637.6,1203.344158,2024-04-05,19.0,1341.012869,2024-05-02,18.0,0.3608741847567101,0.2211665061955494,772.529,1.1197909722482908,0.557668589787568,Coinbase volume,KXCBVOLUME,Coinbase volume,KPIs,tag:KPIs,CBVOLUME-24-Q1,2024-06-30 20:00:00,2024,coinbase volume in q1 2024?,3.0,3.0,closed,0.0,0.0,3.0,468.0,562.0,47.0,0.0,0.0,468.0,468.0,0.0,yes_mid,True,numeric_kpi_ladder,,
COIN,BBG00ZGF7799,"Coinbase Global, Inc.",NASDAQ,US,2024-06-30,2024-08-02,2024-08-01 20:11:00+00:00,1449.628,1439.938864,2024-06-24,18.0,1398.462631,2024-07-26,17.0,0.0067288523438311,0.0365868689415125,707.911,1.0477545906194423,1.0340676497469317,Coinbase volume,KXCBVOLUME,Coinbase volume,KPIs,tag:KPIs,CBVOLUME-24-Q1,2024-06-30 20:00:00,2024,coinbase volume in q1 2024?,3.0,3.0,closed,0.0,0.0,3.0,468.0,562.0,47.0,0.0,0.0,468.0,468.0,0.0,yes_mid,True,numeric_kpi_ladder,,
FDX,BBG001S5R3M5,FedEx Corporation,NYSE,US,2026-05-31,2026-06-24,,25000.0,24025.005553,2026-06-03,17.0,25000.0,2026-06-23,1.0,0.040582485812506,0.0,22200.0,0.1261261261261261,0.0822074573423423,FedEx Corporation,KXFDX,FedEx KPI,Companies|KPIs,market:custom_strike.company|tag:Companies|tag:KPIs,KXFDX-26JUNADV,2026-07-23 20:00:00,Q4 2026,avg daily package volume,11.0,11.0,finalized,71367.89,46420.91,11.0,16000000.0,18000000.0,200000.0,0.5,0.5,17100000.0,17000000.0,1100000.0,yes_mid,True,numeric_kpi_ladder,,
FUTU,BBG00MYXW5H6,Futu Holdings Limited,NASDAQ,HK,2026-03-31,2026-05-28,2026-05-28 08:00:00+00:00,5855.99,5912.381342,2026-03-13,2.0,5969.944265,2026-05-11,5.0,-0.0095378391105138,-0.0190879947854924,4694.637,0.2473786578174202,0.2593905219935002,Futu Holdings Limited,KXFUTU,FUTU KPI,Companies|KPIs,market:custom_strike.company|tag:Companies|tag:KPIs,KXFUTU-26MAYFUNDED,2026-06-27 08:00:00,Q1 2026,total funded accounts,7.0,7.0,finalized,28294.11,17830.78,7.0,3500000.0,3750000.0,50000.0,0.5,0.5,3650000.0,3625000.0,150000.0,yes_mid,True,numeric_kpi_ladder,,
HD,BBG001S5RTW7,"The Home Depot, Inc.",NYSE,US,2026-04-30,2026-05-19,2026-05-19 10:00:00+00:00,41765.0,41643.934983,2026-05-06,25.0,41586.65355,2026-05-15,26.0,0.0029071464319935,0.0042885501663549,39856.0,0.0478974307507025,0.0448598701073865,Home Depot Inc.,KXHD,Home Depot KPI,Companies|KPIs,market:custom_strike.company|tag:Companies|tag:KPIs,KXHD-26MAYTRAN,2026-05-20 14:00:00,Q1 2026,customer transactions,6.0,6.0,finalized,46713.36,36355.61,6.0,388000000.0,398000000.0,2000000.0,0.995,0.005,392020000.0,392010000.0,4020000.0,yes_mid,True,numeric_kpi_ladder,,
LOW,BBG001S5SVL3,"Lowe's Companies, Inc.",NYSE,US,2026-04-30,2026-05-20,2026-05-20 10:00:00+00:00,23078.0,22953.024241,2026-05-07,24.0,22976.265101,2026-05-15,25.0,0.0054448493448093,0.0044278257825102,20930.0,0.102627806975633,0.0966566765886287,Lowe's Companies Inc.,KXLOW,Lowes KPI,Companies|KPIs,market:custom_strike.company|tag:Companies|tag:KPIs,KXLOW-26MAYTRAN,2026-06-01 15:00:00,Q1 2026,customer transactions,6.0,6.0,finalized,28458.069999999996,15421.79,6.0,192000000.0,207000000.0,3000000.0,0.5,0.5,201000000.0,199500000.0,9000000.0,yes_mid,True,numeric_kpi_ladder,,
MTN,BBG001S5TFD6,"Vail Resorts, Inc.",NYSE,US,2026-04-30,2026-06-09,2026-06-08 20:05:00+00:00,1205.175,1214.59797,2026-04-24,9.0,1203.550126,2026-06-08,9.0,-0.0077580979326024,0.001350067575,1295.558,-0.0697637620237766,-0.0624904712872753,Vail Resorts Inc.,KXMTN,Vail Resorts KPI,Companies|KPIs,market:custom_strike.company|tag:Companies|tag:KPIs,KXMTN-26JUNSKIER,2026-07-04 20:00:00,Q3 2026,skier visits,16.0,16.0,finalized,74775.27,49366.89,16.0,6600000.0,8700000.0,100000.0,0.5,0.5,7697500.0,7647500.0,1097500.0,yes_mid,True,numeric_kpi_ladder,,
TGT,BBG001SC0K41,Target Corporation,NYSE,US,2026-04-30,2026-05-20,2026-05-20 10:30:00+00:00,25443.0,24458.344052,2026-05-07,29.0,24659.185145,2026-05-18,30.0,0.0402584878970775,0.0317859187313385,23846.0,0.0669713998154826,0.025679109787805,Target Corporation,KXTGT,Target KPI,Companies|KPIs,market:custom_strike.company|tag:Companies|tag:KPIs,KXTGT-26MAYTRAN,2026-05-21 14:00:00,Q1 2026,number of transaction change,7.0,7.0,finalized,27420.6,20240.71,7.0,-3.5,2.5,1.0,0.995,0.995,3.465,2.47,6.965,yes_mid,True,numeric_kpi_ladder,,
TOL,BBG001S5WT15,"Toll Brothers, Inc.",NYSE,US,2026-04-30,2026-05-20,2026-05-19 20:30:00+00:00,2531.23,2415.373518,2026-05-07,15.0,2531.23,2026-05-19,1.0,0.0479662798058383,0.0,2739.077,-0.0758821310974463,-0.1181797671259333,Toll Brothers Inc.,KXTOL,Toll Brothers,Companies|KPIs,market:custom_strike.company|tag:Companies|tag:KPIs,KXTOL-26MAYDELI,2026-05-20 14:00:00,Q2 2026,delivered homes,7.0,7.0,finalized,57119.01,40442.93,7.0,2350.0,2600.0,50.0,0.995,0.005,2500.0,2499.75,150.0,yes_mid,True,numeric_kpi_ladder,,
ULTA,BBG00FWQ4W44,"Ulta Beauty, Inc.",NASDAQ,US,2026-04-30,2026-06-03,2026-06-02 20:05:00+00:00,3163.857,3111.420436,2026-04-30,22.0,3163.857,2026-06-02,1.0,0.0168529342397107,0.0,2848.367,0.110761710130752,0.0923523675144388,Ulta Beauty Inc.,KXULTA,Ulta KPI,Companies|KPIs,market:custom_strike.company|tag:Companies|tag:KPIs,KXULTA-26JUNTXGRW,2026-07-02 20:00:00,Q1 2026,transactions growth,5.0,5.0,finalized,72793.37,58444.87,5.0,0.5,2.5,0.5,0.5,0.5,1.75,1.5,1.25,yes_mid,True,numeric_kpi_ladder,,
