channel,y,ticker,FE_FP_END,REPORT_DATE,true,strength,financial_history_available,financial_history_shown,ladder_history_available,ladder_history_shown,earnings_call_count,target_ladder_events,target_ladder_rungs
kalshi,rev_yoy,ABNB,2026-03-31,2026-05-08,0.1786971830985915,strong,21,6,0,0,2,1,9
kalshi,rev_yoy,BA,2025-12-31,2026-01-27,0.5711848838735074,strong,27,6,0,0,1,1,8
kalshi,rev_yoy,BA,2026-03-31,2026-04-22,0.1395670906852688,strong,28,6,1,1,2,1,6
kalshi,rev_yoy,COIN,2026-03-31,2026-05-08,-0.3054193221730379,strong,20,6,7,5,2,1,18
kalshi,rev_yoy,CVNA,2026-03-31,2026-04-30,0.5198487712665407,strong,28,6,0,0,2,1,7
kalshi,rev_yoy,DASH,2025-12-31,2026-02-19,0.3766098155238426,strong,20,6,0,0,2,1,8
kalshi,rev_yoy,DASH,2026-03-31,2026-05-07,0.3311345646437995,strong,21,6,1,1,2,1,8
kalshi,rev_yoy,DPZ,2026-06-30,2026-07-20,0.0430365089455997,strong,29,6,0,0,2,1,14
kalshi,rev_yoy,HIMS,2026-03-31,2026-05-12,0.0377024282862068,strong,20,6,0,0,2,1,9
kalshi,rev_yoy,LYFT,2026-03-31,2026-05-08,0.1381332697086965,strong,28,6,0,0,2,1,14
kalshi,rev_yoy,MO,2026-03-31,2026-04-30,0.0528878070369551,strong,28,6,0,0,2,1,7
kalshi,rev_yoy,MTCH,2025-12-31,2026-02-04,0.0207283160655493,strong,22,6,0,0,2,1,6
kalshi,rev_yoy,MTCH,2026-03-31,2026-05-06,0.0393816169393645,strong,23,6,1,1,2,1,10
kalshi,rev_yoy,PLNT,2026-03-31,2026-05-07,0.2188157390606588,strong,28,6,0,0,2,1,7
kalshi,rev_yoy,RACE,2026-03-31,2026-05-05,0.031825795644891,strong,28,6,0,0,2,1,7
kalshi,rev_yoy,STZ,2026-05-31,2026-07-01,-0.0327236580516899,strong,29,6,0,0,2,1,9
kalshi,rev_yoy,TOL,2026-04-30,2026-05-20,-0.0758821310974463,strong,29,6,0,0,2,1,7
kalshi,rev_yoy,TSLA,2025-12-31,2026-01-29,-0.0313533278873459,strong,27,6,7,6,1,1,10
kalshi,rev_yoy,TSLA,2026-03-31,2026-04-23,0.1578484613395396,strong,28,6,8,6,2,1,12
kalshi,rev_yoy,UBER,2025-12-31,2026-02-04,0.2012710092817125,strong,26,6,0,0,2,1,6
kalshi,rev_yoy,UBER,2026-03-31,2026-05-06,0.1448018728864997,strong,27,6,1,1,2,1,10
kalshi,surprise_early,ABNB,2026-03-31,2026-05-08,0.0227972012951929,strong,21,6,0,0,2,1,9
kalshi,surprise_early,BA,2025-12-31,2026-01-27,0.0801083360568055,strong,27,6,0,0,1,1,8
kalshi,surprise_early,BA,2026-03-31,2026-04-22,0.0089103611261663,strong,28,6,1,1,2,1,6
kalshi,surprise_early,COIN,2026-03-31,2026-05-08,-0.1065060635310244,strong,20,6,7,5,2,1,18
kalshi,surprise_early,CVNA,2026-03-31,2026-04-30,0.0705552612306241,strong,28,6,0,0,2,1,7
kalshi,surprise_early,DASH,2025-12-31,2026-02-19,-0.0069317646778274,strong,20,6,0,0,2,1,8
kalshi,surprise_early,DASH,2026-03-31,2026-05-07,-0.0271390894610897,strong,21,6,1,1,2,1,8
kalshi,surprise_early,DPZ,2026-06-30,2026-07-20,0.0104522356100582,strong,29,6,0,0,2,1,14
kalshi,surprise_early,HIMS,2026-03-31,2026-05-12,-0.0136128447739442,strong,20,6,0,0,2,1,9
kalshi,surprise_early,LYFT,2026-03-31,2026-05-08,0.0054703531986674,strong,28,6,0,0,2,1,14
kalshi,surprise_early,MO,2026-03-31,2026-04-30,0.0393489563573398,strong,28,6,0,0,2,1,7
kalshi,surprise_early,MTCH,2025-12-31,2026-02-04,0.0073787013985735,strong,22,6,0,0,2,1,6
kalshi,surprise_early,MTCH,2026-03-31,2026-05-06,0.0112415577118911,strong,23,6,1,1,2,1,10
kalshi,surprise_early,PLNT,2026-03-31,2026-05-07,0.1268189780616699,strong,28,6,0,0,2,1,7
kalshi,surprise_early,RACE,2026-03-31,2026-05-05,0.0140087325641912,strong,28,6,0,0,2,1,7
kalshi,surprise_early,STZ,2026-05-31,2026-07-01,0.0083521982107972,strong,29,6,0,0,2,1,9
kalshi,surprise_early,TOL,2026-04-30,2026-05-20,0.0493855191160435,strong,29,6,0,0,2,1,7
kalshi,surprise_early,TSLA,2025-12-31,2026-01-29,0.0083770357536274,strong,27,6,7,6,1,1,10
kalshi,surprise_early,TSLA,2026-03-31,2026-04-23,-0.0134150878363455,strong,28,6,8,6,2,1,12
kalshi,surprise_early,UBER,2025-12-31,2026-02-04,0.0032269126751609,strong,26,6,0,0,2,1,6
kalshi,surprise_early,UBER,2026-03-31,2026-05-06,-0.0084822122343076,strong,27,6,1,1,2,1,10
kalshi,surprise_print,ABNB,2026-03-31,2026-05-08,0.0233948283222329,strong,21,6,0,0,2,1,9
kalshi,surprise_print,BA,2025-12-31,2026-01-27,0.0598185494061321,strong,27,6,0,0,1,1,8
kalshi,surprise_print,BA,2026-03-31,2026-04-22,0.0166933099972218,strong,28,6,1,1,2,1,6
kalshi,surprise_print,COIN,2026-03-31,2026-05-08,-0.0488147610055821,strong,20,6,7,5,2,1,18
kalshi,surprise_print,CVNA,2026-03-31,2026-04-30,0.0505566080923924,strong,28,6,0,0,2,1,7
kalshi,surprise_print,DASH,2025-12-31,2026-02-19,-0.0101426388987414,strong,20,6,0,0,2,1,8
kalshi,surprise_print,DASH,2026-03-31,2026-05-07,-0.0277991660489189,strong,21,6,1,1,2,1,8
kalshi,surprise_print,DPZ,2026-06-30,2026-07-20,0.0132822486837723,strong,29,6,0,0,2,1,14
kalshi,surprise_print,HIMS,2026-03-31,2026-05-12,-0.0141693011998755,strong,20,6,0,0,2,1,9
kalshi,surprise_print,LYFT,2026-03-31,2026-05-08,0.011961090087533,strong,28,6,0,0,2,1,14
kalshi,surprise_print,MO,2026-03-31,2026-04-30,0.0394235745361482,strong,28,6,0,0,2,1,7
kalshi,surprise_print,MTCH,2025-12-31,2026-02-04,0.0072232984097636,strong,22,6,0,0,2,1,6
kalshi,surprise_print,MTCH,2026-03-31,2026-05-06,0.0108023976538849,strong,23,6,1,1,2,1,10
kalshi,surprise_print,PLNT,2026-03-31,2026-05-07,0.1292595678434148,strong,28,6,0,0,2,1,7
kalshi,surprise_print,RACE,2026-03-31,2026-05-05,0.0086773906896175,strong,28,6,0,0,2,1,7
kalshi,surprise_print,STZ,2026-05-31,2026-07-01,0.0185289819375893,strong,29,6,0,0,2,1,9
kalshi,surprise_print,TOL,2026-04-30,2026-05-20,0.0479662798058383,strong,29,6,0,0,2,1,7
kalshi,surprise_print,TSLA,2025-12-31,2026-01-29,0.0050275513403962,strong,27,6,7,6,1,1,10
kalshi,surprise_print,TSLA,2026-03-31,2026-04-23,0.0129506427433243,strong,28,6,8,6,2,1,12
kalshi,surprise_print,UBER,2025-12-31,2026-02-04,0.0030056285474717,strong,26,6,0,0,2,1,6
kalshi,surprise_print,UBER,2026-03-31,2026-05-06,-0.0058125299575735,strong,27,6,1,1,2,1,10
