sample,bootstrap_id,model,label,fvu,mae
full_21,0,fin,H,0.3562570656711191,8.73220435982183
full_21,0,fin+x,H+X,0.06374332541555504,3.405420639134805
full_21,0,fin+text,H+Z,0.08765054275558583,3.97503093519892
full_21,0,fin+x+text,H+X+Z,0.06808878268375863,3.4006487284342444
full_21,1,fin,H,0.22890022740291405,7.666766686732041
full_21,1,fin+x,H+X,0.06508251059693132,3.7587208576802356
full_21,1,fin+text,H+Z,0.15186089178572712,5.822395297690342
full_21,1,fin+x+text,H+X+Z,0.13608110080193703,5.241028196765308
full_21,2,fin,H,0.25955326993996825,9.966185835384138
full_21,2,fin+x,H+X,0.052041135852870325,4.315468058095268
full_21,2,fin+text,H+Z,0.11791949196583239,5.946743813422831
full_21,2,fin+x+text,H+X+Z,0.11061048933812807,5.696244577307847
full_21,3,fin,H,0.2433187327133098,6.9414552581150675
full_21,3,fin+x,H+X,0.07240947103375688,4.10613229197373
full_21,3,fin+text,H+Z,0.11593735192073716,4.493469606398718
full_21,3,fin+x+text,H+X+Z,0.10787145637964535,4.446855121177233
full_21,4,fin,H,0.20620020363487657,4.1692698307687674
full_21,4,fin+x,H+X,0.12736601799762498,3.30322440647321
full_21,4,fin+text,H+Z,0.07800863639597425,2.408072846766648
full_21,4,fin+x+text,H+X+Z,0.0640444761220433,2.2856880736777563
full_21,5,fin,H,0.10934473847814108,5.379546002140754
full_21,5,fin+x,H+X,0.055251941970801334,3.597911334784496
full_21,5,fin+text,H+Z,0.08410075012987885,3.6546466120802505
full_21,5,fin+x+text,H+X+Z,0.08273601933534473,3.7376329793719436
full_21,6,fin,H,0.6175973321429321,6.7575008299733454
full_21,6,fin+x,H+X,0.16385578464313166,3.7744457432528202
full_21,6,fin+text,H+Z,0.1609223834504623,3.2808231708476145
full_21,6,fin+x+text,H+X+Z,0.12974244551375644,2.9421534996540952
full_21,7,fin,H,0.2230083301001659,5.915652352156843
full_21,7,fin+x,H+X,0.058986392176190276,2.9038455417367888
full_21,7,fin+text,H+Z,0.09547786942790872,3.1952037514163885
full_21,7,fin+x+text,H+X+Z,0.09401585420935626,3.124628454210208
full_21,8,fin,H,0.29017761855057417,4.829945567988524
full_21,8,fin+x,H+X,0.10463357441204268,3.3372798369526016
full_21,8,fin+text,H+Z,0.1393498705220351,3.1207478256482295
full_21,8,fin+x+text,H+X+Z,0.1193308999503002,2.6442755015019395
full_21,9,fin,H,0.15512500666960619,5.504356926588999
full_21,9,fin+x,H+X,0.06493295932446608,3.801102000063288
full_21,9,fin+text,H+Z,0.15490296623482322,4.954335909816094
full_21,9,fin+x+text,H+X+Z,0.1483324589369914,4.607426413619295
full_21,10,fin,H,0.16318220591131097,5.6590909573940555
full_21,10,fin+x,H+X,0.06358252367433845,3.386790138228156
full_21,10,fin+text,H+Z,0.1009373685320519,3.8397910373595607
full_21,10,fin+x+text,H+X+Z,0.08869519432078103,3.483756223484868
full_21,11,fin,H,0.1422299655553301,5.8978328321931475
