sample,bootstrap_id,model,label,fvu,mae
full_21,0,BASE,Without tool use,0.07860025288619056,3.6866796540746996
full_21,0,TOOL,With tool use,0.06808878268375856,3.4006487284342413
full_21,1,BASE,Without tool use,0.1432751049715848,5.428199003510645
full_21,1,TOOL,With tool use,0.136081100801937,5.241028196765306
full_21,2,BASE,Without tool use,0.11277793960519894,5.703341456891872
full_21,2,TOOL,With tool use,0.11061048933812807,5.696244577307847
full_21,3,BASE,Without tool use,0.10621727735792211,4.265676350115832
full_21,3,TOOL,With tool use,0.10787145637964532,4.446855121177234
full_21,4,BASE,Without tool use,0.06290149415943928,2.280090513323069
full_21,4,TOOL,With tool use,0.0640444761220432,2.2856880736777536
full_21,5,BASE,Without tool use,0.08248744578654726,3.7701099801329674
full_21,5,TOOL,With tool use,0.0827360193353447,3.7376329793719423
full_21,6,BASE,Without tool use,0.14664755135683502,3.0940295756340563
full_21,6,TOOL,With tool use,0.12974244551375638,2.942153499654093
full_21,7,BASE,Without tool use,0.09642350608418282,3.3187301419091084
full_21,7,TOOL,With tool use,0.09401585420935628,3.1246284542102063
full_21,8,BASE,Without tool use,0.11702195033361325,2.6166100783814548
full_21,8,TOOL,With tool use,0.1193308999503002,2.6442755015019377
full_21,9,BASE,Without tool use,0.14198767775175875,4.428260539730513
full_21,9,TOOL,With tool use,0.14833245893699146,4.607426413619295
full_21,10,BASE,Without tool use,0.09376161342572245,3.716808510985384
full_21,10,TOOL,With tool use,0.08869519432078102,3.483756223484867
full_21,11,BASE,Without tool use,0.11799984647032677,4.57501981378303
full_21,11,TOOL,With tool use,0.11809791851999293,4.6993928190662215
full_21,12,BASE,Without tool use,0.021635667261255587,2.37173780691459
full_21,12,TOOL,With tool use,0.02114081208319761,2.2752546790300108
full_21,13,BASE,Without tool use,0.1251737607321211,3.7509263543175932
full_21,13,TOOL,With tool use,0.11762969570992732,3.643307123313672
full_21,14,BASE,Without tool use,0.08822871472602908,3.8625260665576753
full_21,14,TOOL,With tool use,0.08704123352604066,3.8323792366170912
full_21,15,BASE,Without tool use,0.14074818423504826,4.643899343453772
full_21,15,TOOL,With tool use,0.13167026729650702,4.4201337398175005
full_21,16,BASE,Without tool use,0.11624851646246298,4.243841601411096
full_21,16,TOOL,With tool use,0.11717873127587325,4.312352002468393
full_21,17,BASE,Without tool use,0.025626123379670542,1.7794278049941508
full_21,17,TOOL,With tool use,0.023655284138866077,1.6720912189993007
full_21,18,BASE,Without tool use,0.08182287509289393,3.612018660222574
full_21,18,TOOL,With tool use,0.08302127466960514,3.6418265193069668
full_21,19,BASE,Without tool use,0.09385877608656554,5.545792965003246
full_21,19,TOOL,With tool use,0.09222575713955222,5.697541829479256
full_21,20,BASE,Without tool use,0.12193259751899561,4.213890095259957
full_21,20,TOOL,With tool use,0.1272274757170989,4.373892833016264
full_21,21,BASE,Without tool use,0.021266043693177045,2.2334764072792654
full_21,21,TOOL,With tool use,0.021144998243235787,2.1463226843516923
full_21,22,BASE,Without tool use,0.09408459888173042,4.9865543841116535
full_21,22,TOOL,With tool use,0.09868754590496272,5.253097570360966
full_21,23,BASE,Without tool use,0.11408425448098805,4.381931044012817
full_21,23,TOOL,With tool use,0.1089747903418608,4.2869084109229325
full_21,24,BASE,Without tool use,0.16295049325815658,3.6603760366191023
full_21,24,TOOL,With tool use,0.15732195113251238,3.6214491195122784
full_21,25,BASE,Without tool use,0.07619546777765904,4.145948813795354
full_21,25,TOOL,With tool use,0.0702311118105408,3.9817642728930545
full_21,26,BASE,Without tool use,0.12159793296012125,4.711246585689725
full_21,26,TOOL,With tool use,0.13199569398665234,5.076019616216784
full_21,27,BASE,Without tool use,0.08496169656911297,3.6049993153432425
full_21,27,TOOL,With tool use,0.08085477186391365,3.4517972028239483
full_21,28,BASE,Without tool use,0.1174017444886746,4.265145499135704
full_21,28,TOOL,With tool use,0.11861142366874607,4.308982954859741
full_21,29,BASE,Without tool use,0.3248232015774296,4.668066387038042
full_21,29,TOOL,With tool use,0.30413023578083903,4.5221675850121645
full_21,30,BASE,Without tool use,0.06754669983042307,3.3906148096825546
full_21,30,TOOL,With tool use,0.06638735314220398,3.242173562500771
full_21,31,BASE,Without tool use,0.01633215588412184,2.443190972490396
full_21,31,TOOL,With tool use,0.019965529482046784,2.560435177501718
full_21,32,BASE,Without tool use,0.05107103027947743,3.014982471029283
full_21,32,TOOL,With tool use,0.049941094411567424,2.8997206446145034
full_21,33,BASE,Without tool use,0.08660414310186645,3.940876642409988
full_21,33,TOOL,With tool use,0.08693847178386839,3.897910460882088
full_21,34,BASE,Without tool use,0.020583757282400243,1.9929644305600185
full_21,34,TOOL,With tool use,0.017970415317835095,1.794699286811536
full_21,35,BASE,Without tool use,0.06618117489333812,3.2147797680839254
full_21,35,TOOL,With tool use,0.06576494432407366,3.11966313677875
full_21,36,BASE,Without tool use,0.08189924081463115,3.369885322887941
full_21,36,TOOL,With tool use,0.08476021577454146,3.3979906625230143
full_21,37,BASE,Without tool use,0.05656802350576653,2.9462343754731464
full_21,37,TOOL,With tool use,0.05929083561068982,2.9816889248071314
full_21,38,BASE,Without tool use,0.059787145527658646,3.2522137368992765
full_21,38,TOOL,With tool use,0.061985533062496594,3.2827368436437543
full_21,39,BASE,Without tool use,0.039853899371125136,3.436044628089012
full_21,39,TOOL,With tool use,0.03833834082206055,3.319272608612983
full_21,40,BASE,Without tool use,0.10065803423645114,3.10846646553507
full_21,40,TOOL,With tool use,0.10102241001561132,3.0357573380756793
full_21,41,BASE,Without tool use,0.15639574486703992,3.9965069699417946
full_21,41,TOOL,With tool use,0.15009022792320487,3.855866832611995
full_21,42,BASE,Without tool use,0.10352626825591668,3.653274257476309
full_21,42,TOOL,With tool use,0.09497078157817855,3.5298105221461005
